Rodage_U,V1_torque,Rodage_I,V2_torque,SnapRingMidPointForce,Premier angle,SnapRingPeakForce,Deuxième angle,Vissage_M8_torque,Capuchon_insertion,StartLinePeakForce,Vissage_M8_angle_log,SnapRingFinalStroke_exp,Binar OP130_Resultat_Global_v
11.97,1,115.1,1,98.63,165.5,171.53,151.1,12.28,0.0,23.14,2.6100697927420065,474491.98242599616,0
11.97,1,111.91,0,97.39,171.5,137.05,197.4,12.16,0.0,23.16,3.086486636822455,334368.84868262074,0
11.97,1,110.49,1,98.6,155.0,162.56,134.0,12.26,1.0,26.53,2.70805020110221,365857.7955006423,0
11.97,1,111.89,1,98.16,127.9,153.98,160.7,12.22,0.0,23.12,2.740840023925201,493856.3675768817,0
11.97,1,108.75,1,109.91,168.3,160.81,154.3,12.3,1.0,27.05,2.7013612129514133,365857.7955006423,0
11.97,1,115.42,1,94.58,189.3,152.74,176.6,12.18,0.0,23.35,3.173878458937465,479260.7061294755,0
11.98,1,112.58,1,94.85,150.1,161.62,163.8,12.32,0.0,21.13,2.9601050959108397,479260.7061294755,0
11.98,1,117.1,1,103.92,177.6,174.94,185.7,12.24,0.0,22.77,2.4069451083182885,469770.7083161708,0
11.97,1,119.93,1,93.74,185.0,150.97,170.3,12.28,0.0,25.79,2.747270914255491,355045.0635575014,0
11.97,1,111.97,1,111.55,172.5,180.52,166.4,12.34,0.0,24.86,2.302585092994046,396329.0184739155,0
11.97,1,109.9,1,97.14,166.8,160.09,154.6,12.25,0.0,24.75,2.8390784635086144,400312.1913298826,0
11.97,1,112.98,1,104.1,162.0,174.69,136.2,12.29,0.0,26.48,2.3978952727983707,396329.0184739155,0
11.97,1,110.52,1,101.86,137.6,188.97,149.2,12.31,0.0,25.0,2.0918640616783932,465096.4116686539,0
11.97,1,111.88,1,103.06,154.0,148.18,169.8,12.15,0.0,30.13,3.3214324131932926,380788.7353793437,0
11.97,0,115.74,0,99.23,164.2,150.01,176.1,12.33,1.0,21.93,2.72785282839839,498819.7065866096,0
11.97,0,110.07,0,102.79,144.2,160.79,139.1,12.12,1.0,23.8,3.086486636822455,488942.41461545986,0
11.97,1,116.71,1,94.25,138.0,143.33,166.6,12.17,0.0,22.07,2.8449093838194073,369534.7274744691,0
11.97,0,111.4,0,98.22,139.6,147.97,169.2,12.33,1.0,21.65,2.954910279033736,503832.9279826815,0
11.97,0,112.4,0,88.22,175.7,154.49,169.7,12.3,1.0,20.85,2.5416019934645457,493856.3675768817,0
11.97,1,114.48,1,100.74,138.8,158.57,163.1,12.28,0.0,23.75,3.1135153092103742,484077.356302953,1
11.97,1,114.4,1,94.81,140.2,165.26,152.1,12.22,0.0,23.44,3.095577608523707,474491.98242599616,0
11.97,1,112.4,1,113.99,158.2,164.59,155.2,12.39,0.0,27.43,2.72785282839839,412503.512552745,0
11.97,1,111.53,1,101.05,166.3,162.23,142.6,12.28,0.0,23.14,2.468099531471619,474491.98242599616,0
11.97,0,115.98,0,96.73,150.4,149.32,160.3,12.17,1.0,23.17,3.3214324131932926,503832.9279826815,0
11.97,1,116.68,1,97.11,153.8,168.23,175.6,12.14,0.0,24.3,3.1822118404966093,479260.7061294755,0
11.98,1,110.57,1,102.36,153.7,170.8,142.1,12.24,0.0,23.47,2.9601050959108397,469770.7083161708,0
11.97,1,111.52,1,96.9,150.8,157.12,130.6,12.31,0.0,26.28,2.4765384001174837,474491.98242599616,0
11.97,1,109.21,1,95.3,167.7,155.14,148.8,12.35,0.0,25.12,2.3702437414678603,408399.0340237931,0
11.97,1,112.7,1,90.8,170.8,150.33,144.3,12.34,0.0,20.83,2.5494451709255714,404335.3957385773,0
11.97,0,112.99,0,86.45,176.2,151.04,162.6,12.34,1.0,20.04,2.6946271807700692,493856.3675768817,0
11.97,1,111.93,1,93.93,145.5,151.68,144.8,12.2,0.0,23.91,2.6741486494265287,408399.0340237931,0
11.97,1,110.58,1,92.65,156.3,166.98,178.7,12.27,0.0,24.21,2.9231615807191558,392385.4788500711,0
11.97,0,118.44,0,101.72,131.1,132.42,165.8,12.31,1.0,22.23,2.3978952727983707,465096.4116686539,0
11.97,0,117.87,0,83.88,167.7,130.63,168.9,12.27,1.0,21.15,2.653241964607215,498819.7065866096,0
11.97,1,111.23,1,89.64,159.7,149.68,158.3,12.29,0.0,24.45,2.8791984572980396,355045.0635575014,0
11.97,1,118.15,1,105.9,184.9,166.75,161.3,12.21,0.0,23.3,3.039749158970765,469770.7083161708,0
11.97,1,110.74,1,102.36,162.2,140.16,176.8,12.25,0.0,26.75,2.5494451709255714,384615.72579367505,0
11.97,1,108.68,1,99.41,138.4,157.28,158.2,12.17,0.0,22.4,2.833213344056216,488942.41461545986,0
11.98,1,111.28,1,102.23,149.4,173.41,138.2,12.18,0.0,23.5,2.970414465569701,469770.7083161708,0
11.97,1,110.09,1,101.11,181.9,159.47,163.8,12.24,0.0,25.99,2.740840023925201,373248.61322898994,0
11.97,0,105.89,0,106.58,135.5,149.17,150.3,12.25,1.0,23.65,2.8273136219290276,460468.6250498847,0
11.97,1,113.99,1,91.93,137.0,159.96,163.5,12.26,0.0,24.46,2.8094026953624978,396329.0184739155,0
11.97,1,116.29,1,101.97,183.7,179.79,170.1,12.18,0.0,22.22,2.6946271807700692,474491.98242599616,0
11.97,1,119.84,1,97.66,173.1,173.31,133.9,12.17,0.0,23.3,2.7788192719904172,474491.98242599616,0
11.97,0,114.05,0,80.01,185.7,151.72,146.8,12.36,1.0,18.81,2.3978952727983707,493856.3675768817,0
11.97,1,114.72,1,95.73,161.6,152.99,160.3,12.3,0.0,24.75,2.517696472610991,400312.1913298826,0
11.97,1,114.47,1,95.29,166.5,166.87,153.2,12.36,0.0,25.13,2.667228206581955,344551.8961378237,0
11.97,1,115.23,1,94.86,165.2,161.02,160.4,12.43,1.0,23.48,2.7343675094195836,369534.7274744691,0
11.97,0,115.79,0,102.98,183.8,154.14,162.1,12.28,1.0,23.07,3.086486636822455,465096.4116686539,0
11.97,1,111.26,1,94.73,164.1,149.93,172.2,12.3,0.0,25.21,2.8390784635086144,404335.3957385773,1
11.97,0,115.95,0,93.79,159.5,137.83,148.1,12.23,1.0,19.81,2.89591193827178,474491.98242599616,0
11.97,1,115.81,1,106.03,181.0,190.79,135.7,12.15,0.0,24.05,3.1354942159291497,474491.98242599616,0
11.97,1,113.51,1,104.43,167.1,168.34,148.8,12.18,0.0,26.79,3.0349529867072724,408399.0340237931,0
11.98,1,114.61,1,101.21,157.1,160.11,168.4,12.16,1.0,26.16,2.9231615807191558,369534.7274744691,0
11.97,0,107.8,0,98.81,137.2,150.12,134.8,12.24,1.0,22.62,2.388762789235098,460468.6250498847,0
11.97,0,115.24,0,98.03,168.9,151.84,173.9,12.33,1.0,23.03,2.5726122302071057,465096.4116686539,0
11.97,1,118.45,1,99.95,176.2,158.03,151.6,12.21,1.0,26.13,2.791165107812717,369534.7274744691,0
11.97,1,111.42,1,96.25,190.2,135.3,161.1,12.31,0.0,24.28,2.163323025660538,331041.82304912945,0
11.98,1,113.27,1,102.81,184.9,181.24,158.8,12.2,0.0,25.03,3.054001181677967,479260.7061294755,0
11.97,1,121.43,1,98.35,146.1,156.38,133.3,12.29,1.0,25.67,2.9014215940827497,365857.7955006423,0
11.97,1,110.32,1,93.99,132.2,160.42,150.7,12.19,1.0,24.51,3.624340932976365,380788.7353793437,0
11.97,1,122.8,1,96.48,144.9,168.67,159.5,12.26,0.0,22.77,2.5877640352277083,474491.98242599616,0
11.97,1,114.57,1,99.64,165.5,174.58,141.7,12.28,0.0,22.39,2.4765384001174837,460468.6250498847,0
11.97,1,111.77,1,96.66,160.4,171.15,149.7,12.24,0.0,24.47,2.7013612129514133,429338.10025710246,0
11.97,1,113.92,1,102.29,181.9,179.68,156.4,12.25,0.0,25.61,2.747270914255491,465096.4116686539,0
11.97,1,117.7,1,107.11,197.7,143.94,185.7,12.28,0.0,27.17,2.8903717578961645,376999.82415587525,0
11.97,0,108.52,0,101.2,163.4,148.37,157.1,12.3,1.0,22.92,2.8213788864092133,484077.356302953,0
11.97,1,118.03,1,104.31,157.1,171.2,164.8,12.19,0.0,22.33,3.4965075614664802,474491.98242599616,0
11.97,1,117.38,1,111.32,151.1,180.65,159.0,12.21,0.0,25.71,3.0587070727153796,474491.98242599616,0
11.97,1,113.64,1,97.02,133.7,159.67,175.8,12.24,1.0,24.3,2.9069010598473755,365857.7955006423,0
11.98,1,108.74,1,95.88,156.4,169.04,168.6,12.27,0.0,24.82,2.4849066497880004,388481.17810109997,0
11.97,1,114.23,1,103.28,147.7,171.07,142.8,12.3,0.0,26.5,2.3702437414678603,396329.0184739155,0
11.97,0,109.85,0,93.28,176.7,145.09,140.8,12.37,1.0,22.2,2.6026896854443837,488942.41461545986,0
11.97,1,118.08,1,104.1,167.1,162.13,172.7,12.34,0.0,24.22,2.785011242238338,479260.7061294755,0
11.97,1,114.76,1,96.87,156.0,166.49,164.2,12.23,0.0,22.15,2.740840023925201,474491.98242599616,0
11.97,1,115.97,1,101.11,158.4,143.42,133.8,12.24,0.0,24.29,2.9231615807191558,380788.7353793437,0
11.97,0,122.26,0,100.03,132.2,156.99,127.9,12.2,1.0,24.91,2.4595888418037104,451350.7353732829,0
11.98,1,111.42,1,101.69,162.3,177.67,195.7,12.19,0.0,25.36,2.3608540011180215,396329.0184739155,0
11.97,1,114.0,1,101.73,151.4,163.41,152.3,12.27,0.0,24.5,3.3945083935113587,400312.1913298826,0
11.97,0,111.09,0,96.42,172.0,150.37,156.3,12.17,1.0,19.22,3.054001181677967,465096.4116686539,0
11.97,1,118.19,1,95.4,137.6,151.91,162.0,12.36,0.0,25.18,2.4849066497880004,362217.44961124816,0
11.97,1,116.92,1,97.43,135.7,161.03,169.8,12.3,0.0,24.37,2.2823823856765264,479260.7061294755,0
11.97,1,113.66,1,100.45,157.8,178.1,144.3,12.3,0.0,27.04,3.407841924380824,396329.0184739155,0
11.97,1,123.92,1,97.76,149.3,154.0,197.5,12.25,0.0,25.2,2.653241964607215,488942.41461545986,0
11.97,0,112.44,0,93.41,150.1,144.22,170.9,12.31,1.0,22.37,2.7212954278522306,469770.7083161708,0
11.97,1,116.88,1,95.95,149.2,168.69,171.3,12.26,0.0,24.86,2.4849066497880004,400312.1913298826,0
11.97,1,109.27,1,106.18,156.5,176.3,153.8,12.32,0.0,27.55,2.884800712846709,396329.0184739155,0
11.98,1,119.05,1,99.01,135.2,166.82,147.0,12.29,0.0,22.13,2.509599262378372,479260.7061294755,0
11.97,1,113.58,1,100.79,172.6,162.23,151.5,12.2,0.0,24.83,3.4781584227982836,479260.7061294755,0
11.97,1,115.26,1,99.9,164.7,165.71,181.5,12.26,1.0,25.55,2.8449093838194073,365857.7955006423,0
11.98,1,116.82,1,93.78,165.7,164.63,171.7,12.33,0.0,22.11,2.5416019934645457,479260.7061294755,0
11.97,1,110.88,1,101.33,129.6,160.82,159.5,12.39,1.0,25.97,3.292126286607793,376999.82415587525,0
11.97,1,120.87,1,105.61,105.1,161.6,196.8,12.23,0.0,25.44,2.9601050959108397,373248.61322898994,0
11.98,1,112.78,1,99.2,192.0,169.74,159.2,12.16,0.0,22.8,3.7796338173824005,479260.7061294755,0
11.97,1,116.71,1,92.62,135.9,160.67,171.8,12.27,0.0,24.17,2.5952547069568657,400312.1913298826,0
11.97,1,112.84,1,105.05,153.7,145.21,166.7,12.4,1.0,25.16,2.8449093838194073,373248.61322898994,0
11.97,0,116.84,0,84.19,164.7,147.38,168.9,12.18,1.0,20.11,2.7788192719904172,498819.7065866096,0
11.97,1,108.9,1,106.61,151.5,158.8,176.0,12.18,1.0,25.64,3.7400477406883357,369534.7274744691,0
11.97,1,107.24,1,98.33,165.9,156.66,160.1,12.21,0.0,24.03,2.617395832834079,404335.3957385773,0
11.97,0,117.4,0,86.2,147.2,148.66,144.2,12.17,1.0,17.55,2.9601050959108397,503832.9279826815,0
11.98,1,111.4,1,103.83,173.3,147.81,169.0,12.26,0.0,25.69,2.6602595372658615,380788.7353793437,0
11.97,0,111.65,0,100.24,145.1,140.8,155.3,12.33,1.0,23.19,2.995732273553991,460468.6250498847,0
11.97,0,113.2,0,98.57,148.5,150.99,176.1,12.27,1.0,23.18,2.803360380906535,460468.6250498847,0
11.97,0,106.65,0,95.15,157.2,148.16,159.2,12.37,1.0,26.96,2.501435951739211,503832.9279826815,0
11.97,1,117.59,1,106.93,158.6,166.25,185.7,12.28,0.0,25.39,2.8449093838194073,376999.82415587525,0
11.98,1,109.99,1,95.87,164.3,160.06,152.1,12.23,0.0,23.01,2.760009940032921,348014.70026317565,0
11.97,1,114.72,1,108.42,174.1,162.89,178.3,12.18,0.0,26.49,3.039749158970765,373248.61322898994,0
11.97,1,116.0,1,98.43,152.7,162.2,155.7,12.27,1.0,24.55,2.6461747973841225,373248.61322898994,0
11.97,0,111.1,0,94.21,144.1,157.15,149.7,12.32,1.0,22.66,2.9231615807191558,446859.7205188836,0
11.97,1,119.04,1,97.4,165.5,156.24,164.2,12.25,0.0,24.98,2.995732273553991,488942.41461545986,0
11.97,1,112.87,1,104.54,153.1,169.41,156.1,12.36,0.0,22.63,2.4159137783010487,469770.7083161708,0
11.98,1,118.91,1,95.21,138.1,155.57,178.2,12.28,0.0,25.42,2.8735646395797834,479260.7061294755,0
11.97,1,111.12,1,104.99,173.8,165.71,169.1,12.21,0.0,23.14,2.833213344056216,474491.98242599616,0
11.97,1,109.8,1,89.31,149.8,152.02,131.3,12.23,0.0,24.52,2.4069451083182885,400312.1913298826,0
11.97,1,114.95,1,103.83,164.4,161.57,168.3,12.2,0.0,24.67,2.928523523860541,373248.61322898994,0
11.97,0,112.23,0,94.72,152.4,143.79,158.1,12.2,1.0,22.32,2.8791984572980396,493856.3675768817,0
11.97,0,114.99,0,97.96,146.6,136.34,188.8,12.24,1.0,20.71,2.766319109226186,469770.7083161708,0
11.97,1,121.41,1,93.66,141.8,157.97,146.6,12.29,0.0,22.89,2.451005098112319,392385.4788500711,0
11.97,1,112.86,1,98.89,170.4,166.64,158.7,12.26,0.0,23.66,2.5572273113676265,396329.0184739155,0
11.97,1,121.74,1,101.16,165.3,163.99,168.0,12.17,0.0,22.41,3.095577608523707,474491.98242599616,0
11.97,1,111.99,1,97.25,139.1,167.67,156.7,12.21,0.0,24.84,3.0106208860477417,474491.98242599616,0
11.97,1,113.15,1,94.68,151.5,158.9,173.0,12.21,1.0,25.99,2.9338568698359038,373248.61322898994,0
11.97,0,114.75,0,79.9,142.1,139.45,141.8,12.19,1.0,17.9,2.631888840136646,503832.9279826815,0
11.98,1,107.49,1,95.88,164.4,159.78,161.1,12.32,1.0,25.41,2.272125885509337,376999.82415587525,0
11.97,1,114.11,1,100.17,165.8,177.65,166.6,12.27,0.0,24.25,2.6946271807700692,469770.7083161708,0
11.97,0,110.69,0,90.81,165.1,144.63,166.8,12.25,1.0,19.18,2.928523523860541,503832.9279826815,0
11.97,0,112.61,0,99.5,162.1,149.16,161.7,12.38,1.0,20.54,2.6100697927420065,451350.7353732829,0
11.97,1,112.83,1,97.4,164.1,152.2,169.5,12.3,1.0,25.13,2.6741486494265287,369534.7274744691,1
11.97,1,115.35,1,98.44,155.5,162.15,141.8,12.3,0.0,22.68,3.1654750481410856,479260.7061294755,0
11.97,1,114.28,1,102.89,164.1,162.96,170.8,12.25,1.0,24.56,3.1484533605716547,365857.7955006423,0
11.97,1,110.25,1,103.36,170.4,160.41,181.0,12.3,0.0,22.05,3.109060958860994,484077.356302953,0
11.97,1,114.65,1,91.14,129.2,141.85,125.4,12.32,1.0,23.94,2.517696472610991,380788.7353793437,0
11.97,1,110.92,1,94.83,140.2,166.25,151.6,12.25,0.0,25.39,2.681021528714291,396329.0184739155,0
11.97,0,112.31,0,107.37,148.6,154.84,163.5,12.27,1.0,24.45,2.653241964607215,488942.41461545986,0
11.97,1,123.28,1,101.65,157.6,171.36,178.5,12.33,0.0,23.69,2.9231615807191558,474491.98242599616,0
11.97,0,115.03,0,98.01,138.4,150.62,161.3,12.26,1.0,21.07,2.617395832834079,498819.7065866096,0
11.97,1,114.24,1,102.32,176.5,159.51,189.9,12.23,0.0,25.64,2.785011242238338,380788.7353793437,0
11.97,0,110.25,0,89.85,139.1,149.92,141.0,12.29,1.0,19.36,2.4336133554004498,484077.356302953,0
11.97,1,120.14,1,95.14,157.1,152.62,151.7,12.21,0.0,25.61,2.388762789235098,479260.7061294755,0
11.97,1,112.28,1,115.92,141.8,166.54,158.8,12.28,0.0,25.59,3.265759410767051,400312.1913298826,0
11.97,1,115.04,1,101.71,178.8,154.86,145.7,12.47,0.0,25.5,2.2407096892759584,348014.70026317565,0
11.97,1,113.53,1,99.05,157.2,149.18,177.6,12.18,0.0,25.26,2.624668592163159,327747.9018738116,0
11.97,0,109.31,0,107.9,165.4,155.77,165.4,12.3,1.0,22.26,2.7536607123542622,460468.6250498847,0
11.97,1,112.33,1,97.62,171.5,152.45,150.6,12.15,0.0,25.76,3.374168709274236,327747.9018738116,0
11.97,1,116.1,1,102.52,180.0,174.64,163.2,12.12,0.0,24.04,3.5322256440685598,474491.98242599616,0
11.97,1,112.25,1,97.9,173.3,149.6,155.8,12.34,1.0,25.13,2.379546134130174,380788.7353793437,0
11.97,1,114.9,1,93.75,169.6,162.63,157.7,12.19,0.0,24.85,2.631888840136646,388481.17810109997,0
11.97,0,111.93,0,84.02,149.2,144.76,157.5,12.23,1.0,17.87,2.9496883350525844,503832.9279826815,0
11.97,0,112.9,0,84.1,160.4,152.06,161.6,12.22,1.0,20.11,2.424802725718295,498819.7065866096,0
11.97,0,116.67,0,87.28,152.4,154.82,158.9,12.3,1.0,20.26,2.766319109226186,488942.41461545986,0
11.97,0,112.14,0,96.91,157.7,152.89,141.8,12.37,1.0,23.5,2.3978952727983707,455886.88567734644,0
11.97,1,111.98,1,91.56,155.1,153.06,155.0,12.29,0.0,24.41,2.6878474937846906,404335.3957385773,0
11.97,1,119.94,1,102.19,140.1,168.78,159.2,12.28,0.0,27.64,2.8094026953624978,400312.1913298826,0
11.97,0,112.62,0,99.41,165.4,159.82,147.2,12.31,1.0,23.87,2.5952547069568657,455886.88567734644,0
11.97,1,114.82,1,102.24,157.8,172.93,142.7,12.26,0.0,24.36,3.2188758248682006,392385.4788500711,0
11.97,1,116.93,1,104.33,140.8,160.5,183.6,12.15,0.0,22.63,3.597312260588446,484077.356302953,0
11.97,1,114.18,1,99.26,156.5,177.72,181.7,12.15,0.0,24.42,2.856470206220483,474491.98242599616,0
11.97,0,110.36,0,96.65,138.0,138.73,151.7,12.3,1.0,22.59,2.6100697927420065,493856.3675768817,0
11.97,1,112.9,1,97.25,147.8,157.74,144.9,12.26,0.0,21.59,2.7536607123542622,479260.7061294755,0
11.97,1,112.08,1,96.72,158.7,142.62,152.6,12.17,1.0,24.5,3.3638415951183864,380788.7353793437,0
11.97,0,112.82,0,97.08,152.7,165.41,138.5,12.16,1.0,22.16,2.8903717578961645,493856.3675768817,0
11.97,1,112.4,1,99.23,156.0,171.85,162.0,12.28,0.0,21.66,3.1179499062782403,469770.7083161708,0
11.98,1,111.17,1,88.58,150.0,162.8,168.6,12.26,0.0,23.97,2.5572273113676265,396329.0184739155,0
11.97,0,112.89,0,90.24,155.3,152.14,156.3,12.21,1.0,18.21,2.5572273113676265,488942.41461545986,0
11.98,1,115.07,1,99.78,164.9,172.91,157.8,12.18,0.0,24.55,2.9496883350525844,388481.17810109997,0
11.98,1,109.45,1,92.69,148.9,165.41,144.1,12.25,0.0,22.75,2.747270914255491,396329.0184739155,0
11.97,1,113.72,1,97.56,151.8,158.58,169.1,12.28,1.0,25.85,2.617395832834079,365857.7955006423,0
11.97,1,129.43,1,93.18,147.2,163.72,147.9,12.22,0.0,27.76,3.0349529867072724,416649.2417767062,0
11.97,0,114.18,0,80.95,138.1,148.12,148.0,12.31,1.0,18.85,2.681021528714291,493856.3675768817,0
11.97,0,114.09,0,83.11,156.9,150.71,144.2,12.32,1.0,18.48,2.9652730660692823,503832.9279826815,0
11.97,0,109.07,0,97.5,138.4,146.28,156.5,12.2,1.0,21.79,2.714694743820879,469770.7083161708,0
11.98,1,114.73,1,96.46,173.2,163.16,139.7,12.29,1.0,25.77,2.617395832834079,369534.7274744691,0
11.98,1,113.72,1,95.99,155.8,166.45,168.6,12.3,0.0,22.59,2.4159137783010487,479260.7061294755,0
11.97,0,109.11,0,81.17,163.5,148.91,150.9,12.33,1.0,18.06,2.4765384001174837,493856.3675768817,0
11.98,1,111.86,1,97.13,156.6,171.66,150.8,12.13,0.0,28.58,3.295836866004329,469770.7083161708,0
11.97,1,119.85,1,102.44,160.1,159.97,164.9,12.25,1.0,25.16,2.91235066461494,369534.7274744691,0
11.97,1,109.91,1,100.45,155.8,162.08,168.8,12.29,0.0,26.4,2.8390784635086144,373248.61322898994,0
11.97,1,112.67,1,98.7,171.7,174.54,160.2,12.29,0.0,22.56,2.681021528714291,469770.7083161708,0
11.97,1,111.95,1,102.9,175.4,164.35,172.3,12.27,1.0,26.69,2.9069010598473755,369534.7274744691,0
11.98,1,115.62,1,103.46,146.5,163.41,184.8,12.2,0.0,21.39,2.5726122302071057,484077.356302953,0
11.97,1,114.81,1,102.37,137.5,171.44,153.4,12.09,0.0,22.51,3.3638415951183864,474491.98242599616,0
11.97,1,112.7,1,97.26,157.3,164.83,169.7,12.13,0.0,24.68,3.0252910757955354,488942.41461545986,0
11.97,0,110.14,0,101.26,191.6,151.42,171.3,12.21,1.0,22.89,2.5726122302071057,488942.41461545986,0
11.97,1,115.89,1,100.38,146.6,167.7,186.9,12.3,0.0,23.26,2.8213788864092133,474491.98242599616,0
11.97,1,113.77,1,105.84,175.8,170.6,149.5,12.09,0.0,24.09,3.885679030088544,474491.98242599616,0
11.97,0,109.41,0,107.29,162.6,145.67,157.9,12.23,1.0,24.03,2.740840023925201,460468.6250498847,0
11.97,0,117.24,0,79.55,136.6,146.38,154.0,12.2,1.0,17.17,2.9856819377004897,503832.9279826815,0
11.97,1,115.34,1,106.17,168.8,152.89,170.4,12.26,1.0,24.68,2.740840023925201,365857.7955006423,0
11.97,0,109.0,0,99.12,151.2,136.19,142.7,12.32,1.0,22.0,2.5494451709255714,465096.4116686539,0
11.97,0,119.58,0,101.05,155.2,151.19,147.3,12.22,1.0,24.43,2.7536607123542622,465096.4116686539,0
11.97,1,110.72,1,95.06,172.5,141.33,175.8,12.23,1.0,24.09,2.7536607123542622,384615.72579367505,0
11.97,1,116.21,1,95.03,149.4,150.82,115.1,12.24,0.0,26.87,2.8735646395797834,392385.4788500711,0
11.97,0,107.31,0,79.9,197.9,141.93,163.6,12.23,1.0,17.77,3.4404180948154366,503832.9279826815,0
11.97,0,117.8,0,94.6,169.1,142.35,151.0,12.24,1.0,21.58,3.100092288878234,488942.41461545986,0
11.97,1,116.91,1,88.57,137.9,168.05,159.4,12.24,0.0,24.83,2.4849066497880004,400312.1913298826,0
11.97,0,111.53,0,95.88,168.9,140.87,159.9,12.36,1.0,21.1,2.5572273113676265,488942.41461545986,0
11.97,1,116.24,1,106.79,163.4,143.21,168.2,12.33,0.0,25.13,2.72785282839839,337729.31147962186,0
11.97,0,110.83,0,105.2,149.6,155.42,182.4,12.24,1.0,24.0,3.100092288878234,469770.7083161708,0
11.97,0,114.62,0,100.88,164.8,150.63,160.8,12.4,1.0,24.53,2.2925347571405443,455886.88567734644,0
11.97,0,108.83,0,95.44,139.1,149.49,137.1,12.33,1.0,22.96,2.6741486494265287,484077.356302953,0
11.97,0,112.07,0,101.22,158.8,155.32,144.5,12.26,1.0,21.66,2.667228206581955,498819.7065866096,0
11.98,1,109.36,1,95.51,159.5,177.62,179.5,12.38,0.0,25.26,2.6100697927420065,392385.4788500711,0
11.97,0,112.43,0,95.69,158.5,151.37,136.9,12.31,1.0,20.38,2.7013612129514133,488942.41461545986,0
11.97,1,115.22,1,93.6,171.4,153.8,154.2,12.21,0.0,22.8,2.7343675094195836,404335.3957385773,0
11.97,1,114.38,1,97.15,175.7,165.29,167.0,12.21,0.0,26.51,2.8507065015037334,376999.82415587525,0
11.97,1,114.91,1,100.73,192.4,179.81,165.9,12.21,0.0,23.46,2.9231615807191558,469770.7083161708,0
11.97,1,109.37,1,100.07,183.0,160.71,167.8,12.42,1.0,23.94,2.803360380906535,362217.44961124816,0
11.97,1,112.45,0,100.67,192.3,150.66,197.5,12.2,0.0,25.9,2.884800712846709,355045.0635575014,0
11.97,0,115.83,0,87.32,141.3,144.25,147.2,12.38,1.0,20.71,2.3978952727983707,498819.7065866096,0
11.97,0,114.51,0,83.92,165.7,143.76,160.5,12.33,1.0,17.03,2.6390573296152584,498819.7065866096,0
11.97,1,120.61,1,106.41,194.1,170.35,165.5,12.21,0.0,23.85,2.7788192719904172,474491.98242599616,0
11.97,1,109.03,1,97.49,147.6,156.65,151.8,12.36,0.0,21.72,2.341805806147327,484077.356302953,0
11.98,1,114.16,1,103.88,194.1,177.24,187.6,12.22,0.0,24.63,2.785011242238338,465096.4116686539,0
